topic_label,topic_probability,Confidence_Level
Kehilangan & Trauma Keluarga,0.3621,Rendah (<0.50)
Dampak Pendidikan & Tempat Tidur,0.8158,Tinggi (≥0.75)
Ketakutan & Dampak Banjir,0.5526,Sedang (0.50–0.74)
Ketakutan & Dampak Banjir,0.8158,Tinggi (≥0.75)
Kerusakan Rumah & Bantuan,0.6111,Sedang (0.50–0.74)
Kerusakan Rumah & Bantuan,0.8158,Tinggi (≥0.75)
Keluhan Fisik & Kesehatan,0.6111,Sedang (0.50–0.74)
Kerusakan Rumah & Bantuan,0.8158,Tinggi (≥0.75)
Ketakutan & Dampak Banjir,0.8971,Tinggi (≥0.75)
Keluhan Fisik & Kesehatan,0.8158,Tinggi (≥0.75)
Keluhan Fisik & Kesehatan,0.5526,Sedang (0.50–0.74)
Ketakutan & Dampak Banjir,0.8158,Tinggi (≥0.75)
Dampak Pendidikan & Tempat Tidur,0.3929,Rendah (<0.50)
Keluhan Fisik & Kesehatan,0.6111,Sedang (0.50–0.74)
Kehilangan & Trauma Keluarga,0.125,Rendah (<0.50)
Ketakutan & Dampak Banjir,0.75,Tinggi (≥0.75)
Kebersihan & Aktivitas Pemulihan,0.6111,Sedang (0.50–0.74)
Ketakutan & Dampak Banjir,0.8158,Tinggi (≥0.75)
Kerusakan Rumah & Bantuan,0.6111,Sedang (0.50–0.74)
Kebutuhan Makan & Aktivitas Fisik,0.8158,Tinggi (≥0.75)
Kebersihan & Aktivitas Pemulihan,0.4824,Rendah (<0.50)
Ketakutan & Dampak Banjir,0.5526,Sedang (0.50–0.74)
Ketakutan & Dampak Banjir,0.75,Tinggi (≥0.75)
Keluhan Fisik & Kesehatan,0.6242,Sedang (0.50–0.74)
Dampak Pendidikan & Tempat Tidur,0.75,Tinggi (≥0.75)
Dampak Pendidikan & Tempat Tidur,0.75,Tinggi (≥0.75)
Kerusakan Rumah & Bantuan,0.75,Tinggi (≥0.75)
Keluhan Fisik & Kesehatan,0.6111,Sedang (0.50–0.74)
Kebersihan & Aktivitas Pemulihan,0.6111,Sedang (0.50–0.74)
Kebersihan & Aktivitas Pemulihan,0.6111,Sedang (0.50–0.74)
Ketakutan & Dampak Banjir,0.5526,Sedang (0.50–0.74)
Kerusakan Rumah & Bantuan,0.5182,Sedang (0.50–0.74)
Kebutuhan Makan & Aktivitas Fisik,0.8793,Tinggi (≥0.75)
Ketakutan & Dampak Banjir,0.4318,Rendah (<0.50)
Ketakutan & Dampak Banjir,0.8542,Tinggi (≥0.75)
Ketakutan & Dampak Banjir,0.75,Tinggi (≥0.75)
Dampak Pendidikan & Tempat Tidur,0.6111,Sedang (0.50–0.74)
Keluhan Fisik & Kesehatan,0.8158,Tinggi (≥0.75)
Kebersihan & Aktivitas Pemulihan,0.75,Tinggi (≥0.75)
Kebersihan & Aktivitas Pemulihan,0.5233,Sedang (0.50–0.74)
Kebersihan & Aktivitas Pemulihan,0.8542,Tinggi (≥0.75)
Kebersihan & Aktivitas Pemulihan,0.75,Tinggi (≥0.75)
Kebutuhan Makan & Aktivitas Fisik,0.75,Tinggi (≥0.75)
Keluhan Fisik & Kesehatan,0.6221,Sedang (0.50–0.74)
Kebutuhan Makan & Aktivitas Fisik,0.8158,Tinggi (≥0.75)
Kebersihan & Aktivitas Pemulihan,0.75,Tinggi (≥0.75)
Kebersihan & Aktivitas Pemulihan,0.6111,Sedang (0.50–0.74)
Kebersihan & Aktivitas Pemulihan,0.8158,Tinggi (≥0.75)
Kebutuhan Makan & Aktivitas Fisik,0.4891,Rendah (<0.50)
Ketakutan & Dampak Banjir,0.6111,Sedang (0.50–0.74)
Ketakutan & Dampak Banjir,0.8542,Tinggi (≥0.75)
Kebersihan & Aktivitas Pemulihan,0.75,Tinggi (≥0.75)
Kebutuhan Makan & Aktivitas Fisik,0.5812,Sedang (0.50–0.74)
Ketakutan & Dampak Banjir,0.5795,Sedang (0.50–0.74)
Keluhan Fisik & Kesehatan,0.8158,Tinggi (≥0.75)
Ketakutan & Dampak Banjir,0.5233,Sedang (0.50–0.74)
Kebutuhan Makan & Aktivitas Fisik,0.8158,Tinggi (≥0.75)
Kebersihan & Aktivitas Pemulihan,0.8793,Tinggi (≥0.75)
Kebutuhan Makan & Aktivitas Fisik,0.3386,Rendah (<0.50)
Kebutuhan Makan & Aktivitas Fisik,0.5526,Sedang (0.50–0.74)
Kebutuhan Makan & Aktivitas Fisik,0.7069,Sedang (0.50–0.74)
Kehilangan & Trauma Keluarga,0.75,Tinggi (≥0.75)
Ketakutan & Dampak Banjir,0.6458,Sedang (0.50–0.74)
Kehilangan & Trauma Keluarga,0.4513,Rendah (<0.50)
Kebersihan & Aktivitas Pemulihan,0.6111,Sedang (0.50–0.74)
Kebersihan & Aktivitas Pemulihan,0.75,Tinggi (≥0.75)
Ketakutan & Dampak Banjir,0.5404,Sedang (0.50–0.74)
Kehilangan & Trauma Keluarga,0.5521,Sedang (0.50–0.74)
Bencana & Kehilangan Tempat Tinggal,0.8158,Tinggi (≥0.75)
Kebersihan & Aktivitas Pemulihan,0.3929,Rendah (<0.50)
Ketakutan & Dampak Banjir,0.897,Tinggi (≥0.75)
Ketakutan & Dampak Banjir,0.75,Tinggi (≥0.75)
Ketakutan & Dampak Banjir,0.8158,Tinggi (≥0.75)
Kebersihan & Aktivitas Pemulihan,0.75,Tinggi (≥0.75)
Kebersihan & Aktivitas Pemulihan,0.8158,Tinggi (≥0.75)
Ketakutan & Dampak Banjir,0.6111,Sedang (0.50–0.74)
Kehilangan & Trauma Keluarga,0.7946,Tinggi (≥0.75)
Ketakutan & Dampak Banjir,0.5616,Sedang (0.50–0.74)
Kehilangan & Trauma Keluarga,0.8158,Tinggi (≥0.75)
Kebutuhan Makan & Aktivitas Fisik,0.6111,Sedang (0.50–0.74)
Kebutuhan Makan & Aktivitas Fisik,0.6458,Sedang (0.50–0.74)
Kebutuhan Makan & Aktivitas Fisik,0.8158,Tinggi (≥0.75)
Kebutuhan Makan & Aktivitas Fisik,0.7069,Sedang (0.50–0.74)
Ketakutan & Dampak Banjir,0.7124,Sedang (0.50–0.74)
