Jenis Kelamin,Umur,Wilayah,Tanggapan,Tanggapan_Final,text_clean,topic_number,topic_id,topic_label,topic_probability
Perempuan,8 sampai 11 tahun,"Desa Kuala Penaga, Aceh Tamiang",senang bermain bersama kakak kakak di cfs,senang main sama kakak kakak cfs,senang main kakak kakak cfs,1,0,Kehilangan & Trauma Keluarga,0.3621
Perempuan,8 sampai 11 tahun,"Desa Kuala Penaga, Aceh Tamiang",memikirkan pr yang susah sekali,pikir pr susah sekali,pikir susah sekali,5,4,Dampak Pendidikan & Tempat Tidur,0.8158
Perempuan,8 sampai 11 tahun,"Desa Kuala Penaga, Aceh Tamiang",melihat banyak lumpur,lihat banyak lumpur,lihat lumpur,2,1,Ketakutan & Dampak Banjir,0.5526
Perempuan,8 sampai 11 tahun,"Desa Kuala Penaga, Aceh Tamiang",melihat sampah yang ada di air,lihat sampah ada air,lihat sampah air,2,1,Ketakutan & Dampak Banjir,0.8158
Perempuan,8 sampai 11 tahun,"Desa Kuala Penaga, Aceh Tamiang",mendengar helikopter lewat,dengar helikopter lewat,dengar helikopter lewat,3,2,Kerusakan Rumah & Bantuan,0.6111
Perempuan,8 sampai 11 tahun,"Desa Kuala Penaga, Aceh Tamiang",mendengar bantuan datang,dengar bantu datang,dengar bantu datang,3,2,Kerusakan Rumah & Bantuan,0.8158
Perempuan,8 sampai 11 tahun,"Desa Kuala Penaga, Aceh Tamiang",telinga sakit,telinga sakit,telinga sakit,8,7,Keluhan Fisik & Kesehatan,0.6111
Perempuan,8 sampai 11 tahun,"Desa Kuala Penaga, Aceh Tamiang",minum susu dan teh dari bantuan,minum susu teh bantu,minum susu teh bantu,3,2,Kerusakan Rumah & Bantuan,0.8158
Perempuan,8 sampai 11 tahun,"Desa Kuala Penaga, Aceh Tamiang",selama banjir minum air hujan,lama banjir minum air hujan,banjir minum air hujan,2,1,Ketakutan & Dampak Banjir,0.8971
Perempuan,8 sampai 11 tahun,"Desa Kuala Penaga, Aceh Tamiang",bahu sakit karena tersenggol,bahu sakit senggol,bahu sakit senggol,8,7,Keluhan Fisik & Kesehatan,0.8158
Perempuan,8 sampai 11 tahun,"Desa Kuala Penaga, Aceh Tamiang",sakit bahu karena tidur di sampan,sakit bahu tidur sampan,sakit bahu tidur sampan,8,7,Keluhan Fisik & Kesehatan,0.5526
Perempuan,8 sampai 11 tahun,"Desa Kuala Penaga, Aceh Tamiang",setelah banjir jadi sedih,banjir jadi sedih,banjir sedih,2,1,Ketakutan & Dampak Banjir,0.8158
Laki laki,8 sampai 11 tahun,"Desa Kuala Penaga, Aceh Tamiang",memikirkan main,pikir main,pikir main,5,4,Dampak Pendidikan & Tempat Tidur,0.3929
Laki laki,8 sampai 11 tahun,"Desa Kuala Penaga, Aceh Tamiang",bermain bersama dafi,main sama dafi,main dafi,8,7,Keluhan Fisik & Kesehatan,0.6111
Laki laki,8 sampai 11 tahun,"Desa Kuala Penaga, Aceh Tamiang",bersenangsenang dengan farhan,bersenangsenang farhan,bersenangsenang farhan,1,0,Kehilangan & Trauma Keluarga,0.125
Laki laki,8 sampai 11 tahun,"Desa Kuala Penaga, Aceh Tamiang",melihat banyak sampah,lihat banyak sampah,lihat sampah,2,1,Ketakutan & Dampak Banjir,0.75
Laki laki,8 sampai 11 tahun,"Desa Kuala Penaga, Aceh Tamiang",banyak lumpur,banyak lumpur,lumpur,4,3,Kebersihan & Aktivitas Pemulihan,0.6111
Laki laki,8 sampai 11 tahun,"Desa Kuala Penaga, Aceh Tamiang",mendengar orangorang kenapa banjir,dengar orangorang banjir,dengar orangorang banjir,2,1,Ketakutan & Dampak Banjir,0.8158
Laki laki,8 sampai 11 tahun,"Desa Kuala Penaga, Aceh Tamiang",minum aqua,minum aqua,minum aqua,3,2,Kerusakan Rumah & Bantuan,0.6111
Laki laki,8 sampai 11 tahun,"Desa Kuala Penaga, Aceh Tamiang",makan indomie,makan indomie,makan indomie,7,6,Kebutuhan Makan & Aktivitas Fisik,0.8158
Laki laki,8 sampai 11 tahun,"Desa Kuala Penaga, Aceh Tamiang",bahu sakit karena pegalpegal disuruh mencuci piring,bahu sakit pegalpegal suruh cuci piring,bahu sakit pegalpegal suruh cuci piring,4,3,Kebersihan & Aktivitas Pemulihan,0.4824
Laki laki,8 sampai 11 tahun,"Desa Kuala Penaga, Aceh Tamiang",sedih karena meninggalkan rumah,sedih tinggal rumah,sedih tinggal rumah,2,1,Ketakutan & Dampak Banjir,0.5526
Laki laki,8 sampai 11 tahun,"Desa Kuala Penaga, Aceh Tamiang",sedih karena mengungsi,sedih ungsi,sedih ungsi,2,1,Ketakutan & Dampak Banjir,0.75
Laki laki,8 sampai 11 tahun,"Desa Kuala Penaga, Aceh Tamiang",senang mendapatkan bantuan,senang dapat bantu,senang dapat bantu,8,7,Keluhan Fisik & Kesehatan,0.6242
Perempuan,12 sampai 14 tahun,"Desa Kuala Penaga, Aceh Tamiang",sedih karena memikirkan ga bisa ngaji,sedih pikir ga ngaji,sedih pikir ngaji,5,4,Dampak Pendidikan & Tempat Tidur,0.75
Perempuan,12 sampai 14 tahun,"Desa Kuala Penaga, Aceh Tamiang",sedih karena nggak bisa sekolah lagi,sedih nggak sekolah,sedih sekolah,5,4,Dampak Pendidikan & Tempat Tidur,0.75
Perempuan,12 sampai 14 tahun,"Desa Kuala Penaga, Aceh Tamiang",sekarang senang,sekarang senang,sekarang senang,3,2,Kerusakan Rumah & Bantuan,0.75
Perempuan,12 sampai 14 tahun,"Desa Kuala Penaga, Aceh Tamiang",saya senang lagi hari ini,senang hari,senang,8,7,Keluhan Fisik & Kesehatan,0.6111
