topic_label,Jenis Kelamin,Jumlah
Bencana & Kehilangan Tempat Tinggal,Laki laki,26
Bencana & Kehilangan Tempat Tinggal,Perempuan,39
Dampak Pendidikan & Tempat Tidur,Laki laki,49
Dampak Pendidikan & Tempat Tidur,Perempuan,40
Kebersihan & Aktivitas Pemulihan,Laki laki,71
Kebersihan & Aktivitas Pemulihan,Perempuan,107
Kebutuhan Makan & Aktivitas Fisik,Laki laki,98
Kebutuhan Makan & Aktivitas Fisik,Perempuan,90
Kehilangan & Trauma Keluarga,Laki laki,71
Kehilangan & Trauma Keluarga,Perempuan,90
Keluhan Fisik & Kesehatan,Laki laki,64
Keluhan Fisik & Kesehatan,Perempuan,125
Kerusakan Rumah & Bantuan,Laki laki,62
Kerusakan Rumah & Bantuan,Perempuan,74
Ketakutan & Dampak Banjir,Laki laki,141
Ketakutan & Dampak Banjir,Perempuan,190
