topic_label,Kelompok_Umur,Jumlah
Bencana & Kehilangan Tempat Tinggal,12–14 tahun,2
Bencana & Kehilangan Tempat Tinggal,12–15 tahun,22
Bencana & Kehilangan Tempat Tinggal,15–17 tahun,3
Bencana & Kehilangan Tempat Tinggal,8–11 tahun,32
Bencana & Kehilangan Tempat Tinggal,Tidak Diisi,6
Dampak Pendidikan & Tempat Tidur,12–14 tahun,6
Dampak Pendidikan & Tempat Tidur,12–15 tahun,26
Dampak Pendidikan & Tempat Tidur,15–17 tahun,12
Dampak Pendidikan & Tempat Tidur,8–11 tahun,38
Dampak Pendidikan & Tempat Tidur,Tidak Diisi,7
Kebersihan & Aktivitas Pemulihan,12–14 tahun,9
Kebersihan & Aktivitas Pemulihan,12–15 tahun,60
Kebersihan & Aktivitas Pemulihan,15–17 tahun,35
Kebersihan & Aktivitas Pemulihan,8–11 tahun,56
Kebersihan & Aktivitas Pemulihan,Tidak Diisi,18
Kebutuhan Makan & Aktivitas Fisik,12–14 tahun,7
Kebutuhan Makan & Aktivitas Fisik,12–15 tahun,47
Kebutuhan Makan & Aktivitas Fisik,15–17 tahun,22
Kebutuhan Makan & Aktivitas Fisik,8–11 tahun,96
Kebutuhan Makan & Aktivitas Fisik,Tidak Diisi,16
Kehilangan & Trauma Keluarga,12–14 tahun,10
Kehilangan & Trauma Keluarga,12–15 tahun,49
Kehilangan & Trauma Keluarga,15–17 tahun,21
Kehilangan & Trauma Keluarga,8–11 tahun,74
Kehilangan & Trauma Keluarga,Tidak Diisi,7
Keluhan Fisik & Kesehatan,12–14 tahun,9
Keluhan Fisik & Kesehatan,12–15 tahun,52
Keluhan Fisik & Kesehatan,15–17 tahun,23
Keluhan Fisik & Kesehatan,8–11 tahun,97
Keluhan Fisik & Kesehatan,Tidak Diisi,8
Kerusakan Rumah & Bantuan,12–14 tahun,7
Kerusakan Rumah & Bantuan,12–15 tahun,38
Kerusakan Rumah & Bantuan,15–17 tahun,15
Kerusakan Rumah & Bantuan,8–11 tahun,68
Kerusakan Rumah & Bantuan,Tidak Diisi,8
Ketakutan & Dampak Banjir,12–14 tahun,18
Ketakutan & Dampak Banjir,12–15 tahun,101
Ketakutan & Dampak Banjir,15–17 tahun,33
Ketakutan & Dampak Banjir,8–11 tahun,148
Ketakutan & Dampak Banjir,Tidak Diisi,31
