topic_label,Wilayah,Jumlah,Avg_Probability
Bencana & Kehilangan Tempat Tinggal,Aceh Tamiang,4,0.6458
Bencana & Kehilangan Tempat Tinggal,Aceh Utara,10,0.6059
Bencana & Kehilangan Tempat Tinggal,Agam,19,0.6099
Bencana & Kehilangan Tempat Tinggal,"Desa Sekoci, Langkat",6,0.5274
Bencana & Kehilangan Tempat Tinggal,Langsa,3,0.6921
Bencana & Kehilangan Tempat Tinggal,"Nagari Ulakan, Padang Pariaman",3,0.7256
Bencana & Kehilangan Tempat Tinggal,Pidie Jaya,3,0.4656
Bencana & Kehilangan Tempat Tinggal,Sibolga Utara,8,0.7308
Bencana & Kehilangan Tempat Tinggal,Tapsel,6,0.5502
Bencana & Kehilangan Tempat Tinggal,Tapteng,3,0.5596
Dampak Pendidikan & Tempat Tidur,Aceh Tamiang,13,0.5826
Dampak Pendidikan & Tempat Tidur,Aceh Utara,11,0.6301
Dampak Pendidikan & Tempat Tidur,Agam,6,0.5446
Dampak Pendidikan & Tempat Tidur,"Desa Kuala Penaga, Aceh Tamiang",5,0.664
Dampak Pendidikan & Tempat Tidur,"Desa Sekoci, Langkat",7,0.5771
Dampak Pendidikan & Tempat Tidur,Langsa,9,0.6062
Dampak Pendidikan & Tempat Tidur,"Nagari Ulakan, Padang Pariaman",6,0.6494
Dampak Pendidikan & Tempat Tidur,Pidie Jaya,8,0.6354
Dampak Pendidikan & Tempat Tidur,Sibolga Utara,8,0.6312
Dampak Pendidikan & Tempat Tidur,Tapsel,4,0.5342
Dampak Pendidikan & Tempat Tidur,Tapteng,12,0.597
Kebersihan & Aktivitas Pemulihan,Aceh Tamiang,12,0.628
Kebersihan & Aktivitas Pemulihan,Aceh Utara,17,0.644
Kebersihan & Aktivitas Pemulihan,Agam,15,0.7411
Kebersihan & Aktivitas Pemulihan,"Desa Kuala Penaga, Aceh Tamiang",13,0.6923
Kebersihan & Aktivitas Pemulihan,"Desa Sekoci, Langkat",18,0.701
Kebersihan & Aktivitas Pemulihan,Langsa,13,0.6877
Kebersihan & Aktivitas Pemulihan,"Nagari Ulakan, Padang Pariaman",10,0.687
Kebersihan & Aktivitas Pemulihan,Pidie Jaya,27,0.7222
